Nama;Gender;Bahasa;Inggris;TIK;Matematika;Fisika;Kimia;Biologi;Geografi;Sosiologi;Antropologi;Extra_Kurikuler;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Celina Haines;Pria;83,7;82,8;69,2;70,4;64,7;87,9;86,2;64,9;75,5;80,6;Ekskul_5;NA;Bekerja;NA;2008;Bekasi;UKM_3;Tidak;7;DKV
Celina Hunter;Wanita;76,1;79,9;75,3;81,6;85,6;80,2;63,5;64,4;76,9;85,2;Ekskul_3;Kos;Bekerja;Orang Tua;2009;Jakarta;UKM_4;Ya;6,5;FISIP
Celina Knight;Pria;71,3;79,8;86,5;68,7;77,4;69,5;83,3;75,2;76,7;61,7;Ekskul_2;Kos;Belum;NA;2008;Karawang;UKM_2;Tidak;4,5;FT
Celina Mackenzie;Wanita;79,9;80;77,9;76,9;68,2;74,6;85,8;83,6;86,2;83,8;Ekskul_3;NA;Bekerja;NA;2008;Bogor;UKM_1;Tidak;5;FISIP
Celina Middleton;Wanita;63,2;71,6;74;78,8;72,9;81,7;70,3;71,4;75,7;86;Ekskul_5;NA;Bekerja;NA;2009;Bekasi;UKM_1;Ya;3,5;FT
Celina Pearce;Wanita;85,1;77,5;86,8;79,7;68,5;73,1;69,4;78,3;62,9;87,1;Ekskul_1;Orang Tua;Belum;Orang Tua;2009;Tangerang;UKM_4;Tidak;6,5;DKV
Celina Reading;Pria;74,9;70,8;87,6;73,6;73,6;84,5;84,9;85,3;60,6;87;Ekskul_6;Kos;Bekerja;Beasiswa;2007;Karawang;UKM_4;Tidak;5,5;FTI
Celina Reese;Wanita;64,5;82,5;74;62,7;66,2;60,6;85,7;84,3;73,2;79,4;Ekskul_4;Kos;Bekerja;Beasiswa;2009;Tangerang;UKM_1;Ya;6,5;FISIP
Celina Smith;Wanita;66,2;88,2;70,4;86,7;81,1;71,8;72,2;87,4;87,8;74,9;Ekskul_6;NA;Bekerja;NA;2009;Bekasi;UKM_3;Ya;5;FTI
Chad Allen;Wanita;74,1;82,2;69,1;72,5;86;72,5;73,9;66,8;61,2;78,7;Ekskul_4;Kos;Belum;NA;2008;Jakarta;UKM_1;Tidak;4;DKV
Chad Bailey;Pria;73,4;62,2;78;74,3;82,4;71,7;78;82,1;60,2;82,6;Ekskul_6;Kos;Belum;Beasiswa;2009;Jakarta;UKM_2;Ya;6;FIKOM
Chad Bentley;Wanita;63,1;69,2;80,7;88,3;81,8;70,4;69,7;85,9;67,6;87,3;Tidak;Orang Tua;Bekerja;Orang Tua;2009;Tangerang;UKM_4;Ya;5,5;FT
Chad Blackburn;Pria;77,2;77,6;62,4;84,9;79,6;71,6;80,1;71,8;80,7;68,2;Ekskul_6;Kos;Bekerja;Orang Tua;2008;Bogor;UKM_2;Ya;3,5;DKV
Chad Booth;Wanita;68,2;85,9;66,3;78,7;66,8;85,7;85,7;79,7;81,6;73,9;Ekskul_4;NA;Bekerja;Beasiswa;2009;Tangerang;UKM_1;Ya;4;FT
Chad Broomfield;Pria;81,2;85,4;82,4;63;61,6;64,2;67,4;66,2;76,6;76,8;Ekskul_3;Kos;Bekerja;Orang Tua;2008;Jakarta;UKM_1;Tidak;5;FTI
Chad Callan;Wanita;67,9;72,3;72,8;79,6;73,5;83,7;68,6;63;77,5;NA;Ekskul_6;NA;Bekerja;Beasiswa;2008;Bogor;UKM_1;Tidak;5,5;FISIP
Chad Collingwood;Pria;71,4;64,9;71;73,7;77,4;77;72,1;61,4;82;77;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2007;Bekasi;UKM_2;Ya;4,5;DKV
Chad Corbett;Pria;65,8;78,4;85,4;75,4;85,4;86,4;78,7;73,5;NA;NA;Tidak;NA;Belum;NA;2008;Jakarta;UKM_2;Tidak;4,5;FISIP
Chad Cowan;Wanita;65,6;78,4;70,5;66,2;60,3;61,9;68,1;68,2;78,5;83,9;Ekskul_4;NA;Belum;Orang Tua;2008;Bekasi;UKM_2;Ya;6,5;FIKOM
Chad Crawford;Pria;87,3;66,9;65,2;60,4;62,7;82,6;85,7;67,8;NA;75,1;Ekskul_1;Kos;Bekerja;NA;2008;Bogor;UKM_4;Tidak;5,5;FISIP
Chad Curtis;Pria;71;77;60,9;84;62,2;81,3;86,4;60,7;72;65,7;Ekskul_3;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_4;Tidak;6;FISIP
Chad Davies;Pria;61,1;60,6;74,9;61,2;80,7;72,5;70,9;77,2;63,4;72,9;Ekskul_6;NA;Belum;NA;2008;Tangerang;Tidak;Ya;4,5;FISIP
Chad Doherty;Pria;73,4;70,3;73,3;78,4;76,9;87,1;62,8;87,8;75,2;88,1;Ekskul_1;Kos;Belum;Orang Tua;2009;Bogor;UKM_4;Ya;3,5;FIKOM
Chad Eastwood;Pria;67,2;66,9;72,3;61,4;78,6;87,2;79,8;74,7;88,6;84,7;Ekskul_3;NA;Belum;NA;2008;Jakarta;UKM_1;Tidak;4,5;FTI
Chad Emmett;Pria;60,3;78,5;70;65,5;65;83,2;77,9;67,1;73,7;NA;Ekskul_3;NA;Belum;NA;2009;Karawang;UKM_3;Ya;4;FT
Chad Farrell;Wanita;82,5;61,2;70,8;68,8;66,8;71,4;80,6;63,7;NA;60,6;Tidak;Orang Tua;Belum;NA;2008;Serang;UKM_2;Tidak;6;FT
Chad Gordon;Wanita;87,8;72,4;72,8;73,3;79,3;85;67,4;67;64,3;80,4;Tidak;Kos;Belum;Beasiswa;2007;Jakarta;UKM_1;Tidak;4;FIKOM
Chad Higgs;Wanita;70,6;84,7;66,7;72,1;88,1;67,6;88,2;67,2;82,3;71,5;Ekskul_2;Orang Tua;Belum;Orang Tua;2007;Serang;Tidak;Ya;3,5;FTI
Chad Johnson;Wanita;70,2;78,1;88;66;74,4;86,7;80,4;78,9;65,7;86,7;Ekskul_3;Orang Tua;Belum;Beasiswa;2008;Bekasi;UKM_3;Tidak;4,5;FISIP
Chad Lane;Wanita;64,6;73,1;69,7;74,7;64,2;68,7;88,4;71;78,7;NA;Ekskul_6;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_4;Ya;6;FT
Chad Logan;Wanita;78,6;84,1;65,6;80,4;80,4;86,1;64,6;65,5;73,7;67,1;Tidak;Orang Tua;Bekerja;Beasiswa;2007;Serang;UKM_4;Tidak;5,5;DKV
Chad Long;Pria;64,9;68,7;NA;83,2;60,6;83,9;74,4;83,3;73,8;73,8;Ekskul_3;Orang Tua;Belum;Orang Tua;2009;Serang;UKM_2;Ya;3,5;FIKOM
Chad Martin;Wanita;79,8;65;79,3;79,9;81,2;82,5;73,8;79,1;71,6;77,8;Ekskul_6;Kos;Bekerja;Orang Tua;2008;Jakarta;Tidak;Tidak;5;FISIP
Chad Moreno;Pria;77,2;72;76,1;74,4;76,6;62,7;88,5;69,3;62,3;61,4;Ekskul_3;NA;Belum;Beasiswa;2007;Karawang;UKM_2;Ya;6;FTI
Chad Purvis;Pria;63,2;64,2;88,4;62,1;74,3;74,9;85,5;62,7;84,9;75,7;Ekskul_1;NA;Belum;NA;2008;Tangerang;UKM_3;Tidak;6;FT
Chad Rigg;Pria;84,4;66,5;69,3;60,8;78;73,5;84,9;86,2;NA;77,5;Tidak;Orang Tua;Belum;NA;2007;Tangerang;UKM_1;Tidak;4;FISIP
Chad Rodwell;Wanita;87,7;79,2;87,7;78,5;78,2;76;86,7;74,4;70,9;60,6;Ekskul_6;NA;Bekerja;Beasiswa;2007;Jakarta;UKM_1;Tidak;3,5;FT
Chad Rossi;Pria;66,4;63,9;60,7;70,4;87,1;79,9;63,7;61,4;77,8;88,3;Ekskul_1;NA;Belum;NA;2007;Jakarta;Tidak;Ya;3,5;FTI
Chad Saunders;Pria;73,7;74,1;83,9;88,4;61,3;85,1;82,7;79,1;66,9;81,2;Ekskul_1;NA;Bekerja;NA;2007;Karawang;UKM_2;Tidak;6,5;DKV
Chad Sheldon;Wanita;74,4;85,1;74,9;76,7;72,4;83,6;83,4;85,2;76,9;72,8;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_4;Ya;6,5;FTI
Chad Snell;Wanita;67,8;62,7;77,4;72,7;69,2;70,5;68,7;63,7;61,2;77;Ekskul_5;NA;Bekerja;Orang Tua;2009;Jakarta;UKM_2;Ya;3,5;FIKOM
Chad Stanley;Pria;77,2;79,5;77,8;71,2;65,2;68,7;74,8;73,1;66,3;63,2;Tidak;NA;Belum;Orang Tua;2007;Serang;UKM_4;Tidak;5,5;FTI
Chad Stewart;Wanita;81,3;74,5;60,9;66;74,1;63,3;73,8;85,7;73,7;84,7;Ekskul_4;NA;Bekerja;NA;2008;Tangerang;Tidak;Ya;5;FISIP
Chad Sylvester;Pria;62,6;73,2;NA;78,3;71,5;82,8;81,5;68,9;70,7;67;Ekskul_6;Kos;Bekerja;Orang Tua;2009;Serang;UKM_2;Tidak;4;FIKOM
Chad Tate;Pria;75,1;87,7;NA;71,5;82,8;67,5;79,6;71,5;65;81,2;Tidak;Kos;Belum;Orang Tua;2007;Serang;UKM_4;Tidak;4;FIKOM
Chad Ulyatt;Wanita;68,9;69,7;76,8;82,6;60,3;68,5;62,2;67,4;74,3;83,5;Ekskul_1;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_4;Ya;4;DKV
Chad Vallory;Wanita;62,9;72,1;85,5;70,6;70,8;74,5;73,8;71,2;76;68,5;Ekskul_3;NA;Belum;NA;2008;Bogor;UKM_4;Ya;4;FIKOM
Chad Walsh;Pria;74,3;81,2;69,3;65,8;71;65,8;80,3;81;65,3;66,4;Ekskul_4;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_4;Ya;5,5;DKV
Chad Warden;Wanita;78,6;79;81,2;85,2;60,1;71,6;68;85,1;67,7;74,3;Ekskul_4;Orang Tua;Belum;Orang Tua;2008;Bekasi;Tidak;Tidak;5,5;FISIP
Chad Whatson;Wanita;69,5;79,9;65,8;77,8;74,2;63,4;60,6;79,9;78,3;80,4;Tidak;Orang Tua;Bekerja;Orang Tua;2007;Bekasi;UKM_1;Ya;5;FIKOM
Chad Wheeler;Pria;78,3;68,8;71,7;79,8;76,8;63,2;65,1;64,6;79,5;72,7;Ekskul_2;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_1;Tidak;6,5;FT
Chad Widdows;Pria;74;87,2;78,1;81,2;61,7;75,8;74,6;64,8;64,2;75,6;Ekskul_4;NA;Bekerja;Beasiswa;2009;Jakarta;UKM_3;Ya;6;FTI
Chad Wood;Wanita;66,8;86,7;85,7;83;66,5;69,2;81,8;78,7;78;71,5;Ekskul_5;Kos;Bekerja;NA;2007;Bekasi;UKM_3;Tidak;5;FISIP
Chad Yates;Wanita;74,6;86,2;71,5;82;88;71,6;70,2;62,4;78;67,3;Ekskul_3;Kos;Bekerja;NA;2009;Jakarta;UKM_2;Tidak;5;FISIP
Chadwick Atkinson;Pria;76,1;80,9;73;74,4;81,5;84,6;76,5;71,5;61,5;76;Ekskul_4;NA;Bekerja;NA;2009;Bekasi;Tidak;Tidak;7;FTI
Chadwick Bailey;Pria;79,9;84,4;66,5;79,4;70,2;79,6;79;72,1;60,8;80,6;Ekskul_1;NA;Bekerja;Beasiswa;2007;Karawang;Tidak;Ya;5,5;FTI
Chadwick Barclay;Pria;77,9;79,4;83,1;75,5;62,4;77,7;76,3;86,3;79,6;79,4;Ekskul_1;Orang Tua;Belum;Orang Tua;2008;Karawang;UKM_3;Tidak;3,5;FT
Chadwick Butler;Wanita;86,5;75,4;79,4;67,7;77,1;86,4;81,1;82,1;77,2;74,2;Tidak;NA;Bekerja;Orang Tua;2008;Tangerang;UKM_3;Tidak;5;FIKOM
Chadwick Chester;Wanita;85,5;86,1;72;67;63,8;71,9;62,7;80,5;66,1;78,8;Ekskul_4;Kos;Bekerja;Beasiswa;2007;Serang;UKM_3;Tidak;6;FTI
Chadwick Clark;Wanita;61;69,2;72,8;60,8;86;84;78,8;71,2;85,5;78,5;Ekskul_5;Kos;Bekerja;NA;2007;Tangerang;Tidak;Ya;4;FTI
Chadwick Coates;Pria;66,5;60,3;87,3;75,3;78,5;69,4;78,7;64,4;83;78,3;Ekskul_4;Kos;Belum;NA;2007;Bogor;UKM_2;Tidak;3,5;FTI
Chadwick Cowan;Pria;72,5;65;65,4;61,5;82,1;88,3;72,3;68,7;70,5;62,6;Ekskul_2;Kos;Belum;Beasiswa;2009;Bogor;UKM_2;Ya;7;FTI
Chadwick Dixon;Pria;60,8;69,2;80,4;67,8;87,4;73,3;66,7;85,6;67,5;70,9;Ekskul_1;Kos;Belum;Orang Tua;2007;Bekasi;UKM_2;Tidak;3,5;FISIP
Chadwick Doherty;Pria;79,7;61,5;83,2;77,7;81,2;82,9;65,1;81,9;NA;84,8;Ekskul_5;Kos;Belum;Beasiswa;2009;Tangerang;UKM_1;Tidak;4,5;FTI
Chadwick Edley;Pria;65,1;76,2;84,8;65,2;60,2;76,3;60,3;86,2;88,3;64,7;Ekskul_2;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_2;Ya;6;FTI
Chadwick Edmonds;Pria;75,5;74,6;69,6;66,6;78,8;62,4;87,6;67;87,6;66,7;Ekskul_5;NA;Belum;Beasiswa;2008;Karawang;Tidak;Tidak;7;FIKOM
Chadwick Forth;Pria;88,6;73,4;69,4;73,4;73,4;84;86;77,7;72;83,9;Tidak;Kos;Belum;Beasiswa;2009;Jakarta;UKM_1;Ya;6;FTI
Chadwick Gordon;Wanita;70,9;76,6;72,2;85,9;70,9;84,4;74,7;88,4;82,1;85,5;Tidak;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_3;Tidak;5;FISIP
Chadwick Griffiths;Wanita;66,3;66,4;60,1;81,1;72,2;83,9;77,1;73,1;82,4;61,3;Ekskul_5;NA;Belum;NA;2008;Karawang;UKM_1;Ya;6;FTI
Chadwick Harris;Pria;80,6;83,8;86,1;88,2;66,7;87,5;73,2;63,5;72,8;73;Ekskul_6;Orang Tua;Belum;Orang Tua;2009;Bekasi;Tidak;Ya;4,5;FTI
Chadwick Higgs;Wanita;80,7;66,6;71,7;73,2;88,3;86,6;69,9;87,8;76,2;86,6;Ekskul_4;NA;Belum;Orang Tua;2009;Bogor;UKM_2;Ya;6;FT
Chadwick Huggins;Pria;72,7;73;64,9;82,4;82,3;65,5;74,4;67,9;61,9;64,6;Ekskul_3;NA;Belum;NA;2007;Jakarta;UKM_2;Ya;4,5;FISIP
Chadwick Jarvis;Wanita;87,4;74,6;70,1;79,4;65,2;73,8;60,2;69,1;NA;87;Ekskul_1;NA;Belum;Orang Tua;2007;Bogor;UKM_1;Ya;4;DKV
Chadwick Jefferson;Wanita;63,1;77,4;81,9;70,4;61,6;68;82,5;60,4;69,1;70,8;Ekskul_6;Orang Tua;Bekerja;NA;2009;Jakarta;UKM_3;Ya;6,5;FIKOM
Chadwick Jennson;Wanita;65,4;81,7;61,1;81,3;88,3;71,9;82,6;67,7;79,6;NA;Ekskul_2;NA;Bekerja;Orang Tua;2009;Bekasi;UKM_4;Ya;4;DKV
Chadwick Johnson;Wanita;84,6;81,7;75,5;64,2;68,1;83,5;88,5;86,5;62,5;80,2;Ekskul_2;NA;Bekerja;NA;2007;Bekasi;UKM_4;Tidak;5;FIKOM
Chadwick Lloyd;Pria;76,1;84,8;75,2;66,3;61,5;67,2;80,7;88,3;77,2;86,1;Ekskul_2;Orang Tua;Belum;Beasiswa;2009;Bogor;UKM_4;Tidak;5,5;FTI
Chadwick Mcgee;Wanita;60,1;70,3;74,1;76,2;74,7;80,6;88,5;86;NA;82,8;Tidak;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Ya;5;FISIP
Chadwick Moreno;Pria;83,6;61;88,6;82,5;69;69,9;68,5;61,2;74,4;69,8;Ekskul_1;Orang Tua;Belum;Orang Tua;2008;Jakarta;Tidak;Ya;5,5;FTI
Chadwick Newton;Pria;82,5;87,6;68,1;73,2;71,2;85,9;68,5;63,8;80,6;NA;Tidak;Orang Tua;Belum;NA;2008;Bekasi;UKM_2;Ya;4,5;FIKOM
Chadwick Parr;Wanita;86,3;71,4;68,1;62,3;67,4;78,9;66,6;73,9;67,6;61,8;Ekskul_6;NA;Belum;Orang Tua;2007;Serang;UKM_2;Ya;5;FTI
Chadwick Potter;Pria;83,1;68,5;63,6;67,6;85,9;79,1;69,5;84,5;62,6;77,4;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2007;Bekasi;UKM_1;Ya;6;FTI
Chadwick Rainford;Pria;81,7;64,8;88;76,5;68,8;78,5;77,8;76;75,3;70,1;Ekskul_5;Kos;Belum;NA;2008;Bogor;Tidak;Tidak;7;DKV
Chadwick Ripley;Wanita;82,4;79,3;79,9;65,7;69,6;83,8;78,4;73,3;76,9;69,5;Ekskul_5;Kos;Belum;NA;2009;Bekasi;Tidak;Ya;6;FT
Chadwick Seymour;Wanita;61,1;80,3;62,6;61,6;64;80,9;85,4;80,1;67,7;87,6;Tidak;NA;Bekerja;Orang Tua;2008;Serang;UKM_3;Tidak;7;FT
Chadwick Shaw;Wanita;77,8;78,2;65,7;81,6;80,4;83,2;65,8;77,2;76,7;84,9;Ekskul_2;NA;Bekerja;Orang Tua;2009;Serang;UKM_3;Tidak;4;FISIP
Chadwick Simpson;Pria;75,1;82,4;60,7;80,7;82,3;85,6;82,7;63;75,2;87,5;Ekskul_2;NA;Bekerja;NA;2009;Serang;UKM_4;Tidak;4;FIKOM
Chadwick Stewart;Pria;80,8;66;67,8;79,6;63,6;69,4;86;69,6;75,8;87,8;Tidak;Orang Tua;Belum;Orang Tua;2009;Serang;UKM_1;Ya;3,5;DKV
Chadwick Tanner;Wanita;79,4;88,4;79,9;88;86,7;76,2;67,5;64;64,4;87,8;Ekskul_1;Orang Tua;Bekerja;Beasiswa;2009;Bekasi;UKM_1;Tidak;4,5;FT
Chadwick Ulyatt;Wanita;70,3;87;82,1;73,5;73,4;65;85,5;80,2;62,1;NA;Tidak;Kos;Belum;Beasiswa;2009;Jakarta;UKM_4;Ya;7;FIKOM
Chadwick Weston;Pria;81;87,7;61,2;71,5;68,4;65,5;85,5;87,7;62,1;84,5;Ekskul_3;Kos;Bekerja;NA;2007;Karawang;UKM_2;Tidak;4,5;FISIP
Chadwick Whatson;Pria;60,6;65,1;67,3;80,8;61,9;68,7;71,1;66,8;88,2;74,2;Ekskul_1;Kos;Belum;NA;2007;Bekasi;UKM_3;Tidak;5;FT
Chadwick Wilton;Pria;81;68,5;81,2;86,5;74,8;72,1;86,7;73,5;78,3;74,4;Ekskul_4;NA;Belum;NA;2007;Karawang;UKM_3;Ya;7;FTI
Chadwick York;Pria;71,4;65;73,8;69,2;64,7;70;78,9;81,4;75,3;69,1;Ekskul_3;Kos;Belum;NA;2009;Jakarta;UKM_4;Ya;5;DKV
Chanelle Allington;Wanita;67,7;76,1;87,6;75,7;78;70,3;66,4;88,4;88,1;82,4;Ekskul_1;NA;Bekerja;NA;2008;Tangerang;Tidak;Ya;3,5;FT
Chanelle Baker;Wanita;81,5;67,6;72,4;87,1;63;62,9;83,7;76,4;65,9;79;Ekskul_2;NA;Bekerja;Beasiswa;2009;Bekasi;UKM_4;Tidak;4,5;FTI
Chanelle Coll;Wanita;71,2;63,7;78,1;65,6;63,9;84,4;87;85,5;80,5;61,5;Tidak;NA;Belum;NA;2009;Tangerang;Tidak;Tidak;3,5;FISIP
Chanelle Collis;Pria;64,2;75,9;67,3;74,6;73,1;66,5;74,2;77,8;NA;64,4;Ekskul_2;NA;Belum;Orang Tua;2007;Karawang;UKM_3;Tidak;5,5;FIKOM
Chanelle Higgs;Pria;70,9;68,4;60,7;85,5;78,9;64,3;65,3;78,6;60,9;80;Ekskul_6;NA;Belum;Orang Tua;2007;Bekasi;UKM_3;Ya;3,5;FISIP
Chanelle Jeffery;Pria;79,4;65,2;84,4;79,4;75,5;87,1;71,1;69,5;84,3;87;Ekskul_4;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_2;Tidak;4;FISIP
Chanelle Mcnally;Wanita;74,7;86,5;78,8;69,1;62,1;66;70,9;64;62,7;85,7;Ekskul_1;Kos;Bekerja;Orang Tua;2007;Karawang;UKM_4;Ya;7;FT
Chanelle Phillips;Pria;65,9;69,1;83,5;75,8;79,7;69,1;87,1;84,2;64,4;81,6;Ekskul_2;Orang Tua;Bekerja;Beasiswa;2009;Jakarta;UKM_1;Tidak;4;FT
Chanelle Rixon;Wanita;87,5;83,3;83,2;81,3;74,4;74,3;88,5;71,2;NA;78,4;Ekskul_2;Kos;Bekerja;Orang Tua;2008;Karawang;Tidak;Tidak;6,5;DKV
Chanelle Webster;Wanita;84,7;68;78,3;70,2;76,9;65,7;75,8;75,3;82,5;60,4;Ekskul_6;Kos;Belum;Beasiswa;2008;Bekasi;UKM_2;Tidak;6,5;FTI
Chanelle Woods;Pria;71,6;84,3;64,9;84;77,3;62,1;67;79,2;70,6;66,4;Tidak;Kos;Belum;Orang Tua;2007;Serang;Tidak;Tidak;5,5;DKV
Charlize Barrett;Pria;69,7;79,1;76,9;77,7;82,6;60,5;86,6;80,8;66,8;87,5;Tidak;NA;Bekerja;Beasiswa;2008;Bogor;UKM_1;Ya;6,5;FIKOM
Charlize Boden;Wanita;86,2;64,7;63;73,4;69,9;70,9;73,4;81,7;77,4;67,2;Tidak;Orang Tua;Belum;Orang Tua;2007;Karawang;Tidak;Tidak;6,5;DKV
Charlize Camden;Wanita;73,1;76,6;69,5;62,1;70,3;65,8;69,4;62,8;87,1;62,1;Ekskul_4;NA;Bekerja;NA;2009;Jakarta;UKM_4;Tidak;6,5;FIKOM
Charlize Craig;Wanita;65,1;62,8;81,5;84,5;83,5;84,3;88;78,8;66,4;82,1;Ekskul_1;NA;Belum;Beasiswa;2008;Tangerang;UKM_4;Tidak;5;FTI
Charlize Devonport;Wanita;69,1;78,2;78,4;74,3;61,6;86,7;60,7;67;60,3;76,4;Ekskul_6;Kos;Belum;Orang Tua;2007;Tangerang;Tidak;Tidak;4;FT
Charlize Dwyer;Pria;67,2;69,2;62,6;72,4;87,6;78,4;72,4;63,3;78,7;64,9;Ekskul_5;Orang Tua;Belum;Beasiswa;2009;Jakarta;UKM_3;Ya;5,5;FTI
Charlize Fields;Pria;86,9;77,2;87,9;77,5;80,1;65,6;64,6;62;86,8;80,6;Ekskul_5;Orang Tua;Bekerja;NA;2008;Jakarta;UKM_1;Ya;6,5;FIKOM
Charlize Gregory;Pria;77,8;61,3;72,8;71,3;63,2;84,4;69,5;73,8;NA;79;Ekskul_5;Orang Tua;Belum;Orang Tua;2009;Bekasi;Tidak;Ya;3,5;FIKOM
Charlize Heaton;Wanita;84,2;62,4;65,7;61;61,5;77,4;80,8;70,8;83,7;78,6;Ekskul_2;Orang Tua;Bekerja;Orang Tua;2009;Bekasi;UKM_2;Ya;4,5;FIKOM
Charlize Holt;Wanita;62,9;71;73;71,9;73,5;79,2;67,6;78,9;83,4;62,9;Ekskul_3;Orang Tua;Bekerja;NA;2007;Serang;UKM_3;Ya;3,5;FISIP
Charlize Jackson;Wanita;85,6;61,6;69,3;88,6;78,5;84;70,2;75,8;69,1;69;Ekskul_4;Kos;Bekerja;Beasiswa;2007;Bogor;UKM_3;Ya;5,5;FIKOM
Charlize Lewis;Wanita;72,1;74,7;82,4;86,1;81,2;61,6;78,7;70,1;86;NA;Ekskul_3;Orang Tua;Belum;NA;2008;Jakarta;UKM_2;Ya;4;FISIP
Charlize Martin;Pria;69,2;63,9;75,7;62,5;82,5;74,1;77,5;88,1;61,5;67,8;Ekskul_6;Kos;Bekerja;Orang Tua;2008;Bekasi;Tidak;Ya;3,5;FISIP
Charlize Roberts;Wanita;70,2;62,4;85,4;66,4;73,4;65,4;84,6;66;66,1;70,5;Tidak;NA;Belum;Orang Tua;2009;Karawang;UKM_1;Ya;7;FTI
Charlize Tindall;Pria;79;71,8;63,9;71,6;67,5;62,2;79,8;74;66,4;82,9;Ekskul_3;Kos;Bekerja;NA;2009;Bekasi;UKM_2;Tidak;4;FTI
Charlize Weatcroft;Wanita;85,7;65,4;74;65,9;84;70;64,6;63,4;78,5;71,9;Ekskul_6;Kos;Belum;Orang Tua;2008;Serang;Tidak;Ya;7;FT
Charlotte Archer;Pria;78,6;63,3;62,8;64,3;77,1;84,1;64,4;79;73,1;72,1;Ekskul_6;NA;Bekerja;Orang Tua;2008;Tangerang;UKM_3;Tidak;5,5;FIKOM
Charlotte Blythe;Wanita;81,4;79,7;NA;82,9;77;77,8;70,4;76;84,7;83,6;Ekskul_6;NA;Belum;NA;2008;Karawang;UKM_2;Ya;7;FISIP
Charlotte Booth;Pria;61,7;76,7;81,8;62,4;74,7;62,6;71,5;67,7;65,8;63;Ekskul_1;NA;Bekerja;NA;2007;Bogor;UKM_2;Ya;6;FTI
Charlotte Coll;Pria;77,2;84,1;63,1;62,6;82,4;84,2;66,1;80;87,9;83,4;Ekskul_2;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_1;Tidak;6;FISIP
Charlotte Davies;Wanita;79,6;71,7;87,8;71,9;77,9;86,6;70,7;82,4;87,6;85,1;Ekskul_5;NA;Belum;Orang Tua;2009;Jakarta;UKM_2;Tidak;6,5;FISIP
Charlotte Doherty;Pria;75,8;62,7;70,8;79,1;64,9;64,4;64,5;86,6;NA;76,2;Ekskul_1;Kos;Bekerja;Orang Tua;2009;Jakarta;UKM_3;Ya;3,5;FIKOM
Charlotte Freeburn;Pria;87,3;68,1;80,9;61,9;78,6;87,6;70,3;71,9;78,2;79,1;Ekskul_4;Kos;Belum;NA;2009;Jakarta;UKM_2;Ya;3,5;FIKOM
Charlotte Hardwick;Pria;60,3;77,5;79,3;71,3;67,6;76,2;77,7;83,8;85,9;69,2;Ekskul_5;Kos;Belum;Orang Tua;2009;Karawang;UKM_1;Ya;4;FISIP
Charlotte Hood;Pria;64,7;83,1;74,6;69,3;85,1;64,8;70;65,7;63,9;85,7;Ekskul_5;Kos;Bekerja;Orang Tua;2007;Serang;UKM_2;Tidak;3,5;FISIP
Charlotte Kennedy;Pria;65;60,1;83,2;88,2;84,2;85,9;79,5;86,7;70,3;74,6;Tidak;Orang Tua;Bekerja;NA;2009;Bogor;UKM_1;Ya;4;FISIP
Charlotte Kent;Pria;88,5;74,9;83,3;76,9;84;75,9;67,2;81;82,7;69,4;Ekskul_3;NA;Belum;NA;2007;Jakarta;UKM_4;Ya;6;FISIP
Charlotte Lane;Wanita;62;87,1;69,8;78;72,3;88,6;83,5;72,1;76,7;66,7;Tidak;Kos;Bekerja;NA;2009;Serang;UKM_1;Ya;5,5;FIKOM
Charlotte Mackenzie;Wanita;77,2;81,3;71,1;70,7;87,9;80,3;62;67,4;78,7;86;Ekskul_2;NA;Bekerja;Beasiswa;2009;Karawang;UKM_4;Tidak;3,5;FTI
Charlotte Pierce;Pria;82,2;78,4;74,7;77,5;67;67,4;83,4;86,6;72,2;65,6;Ekskul_5;Orang Tua;Belum;NA;2009;Bogor;Tidak;Ya;7;FIKOM
Charlotte Rowlands;Wanita;68;81,8;65,6;73;76,8;80,8;72,3;66;70,2;72,9;Ekskul_3;NA;Belum;Beasiswa;2007;Tangerang;UKM_2;Tidak;6,5;FIKOM
Charlotte Russell;Pria;84,5;69,4;84,8;60,6;63;83,6;74,4;74,1;78,9;64,2;Ekskul_3;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_1;Ya;7;FISIP
Charlotte Stewart;Wanita;80,3;68,9;78,1;63,7;72,8;66,6;74,3;60,2;84,5;88;Ekskul_6;NA;Belum;Beasiswa;2009;Bekasi;UKM_4;Ya;6;DKV
